icd_code;diagnose_name;description
A00.-;Cholera;Cholera
A00.0;Cholera durch Vibrio cholerae O:1, Biovar cholerae;Cholera
A00.1;Cholera durch Vibrio cholerae O:1, Biovar eltor;Cholera
A00.9;Cholera, nicht näher bezeichnet;Cholera
A01.-;Typhus abdominalis und Paratyphus;Typhus abdominalis und Paratyphus
A01.0;Typhus abdominalis;Typhus abdominalis und Paratyphus
A01.1;Paratyphus A;Typhus abdominalis und Paratyphus
A01.2;Paratyphus B;Typhus abdominalis und Paratyphus
A01.3;Paratyphus C;Typhus abdominalis und Paratyphus
A01.4;Paratyphus, nicht näher bezeichnet;Typhus abdominalis und Paratyphus
A02.-;Sonstige Salmonelleninfektionen;Sonstige Salmonelleninfektionen
A02.0;Salmonellenenteritis;Sonstige Salmonelleninfektionen
A02.1;Salmonellensepsis;Sonstige Salmonelleninfektionen
A02.2;Lokalisierte Salmonelleninfektionen;Sonstige Salmonelleninfektionen
A02.8;Sonstige näher bezeichnete Salmonelleninfektionen;Sonstige Salmonelleninfektionen
A02.9;Salmonelleninfektion, nicht näher bezeichnet;Sonstige Salmonelleninfektionen
A03.-;Shigellose [Bakterielle Ruhr];Shigellose [Bakterielle Ruhr]
A03.0;Shigellose durch Shigella dysenteriae;Shigellose [Bakterielle Ruhr]
A03.1;Shigellose durch Shigella flexneri;Shigellose [Bakterielle Ruhr]
A03.2;Shigellose durch Shigella boydii;Shigellose [Bakterielle Ruhr]
A03.3;Shigellose durch Shigella sonnei;Shigellose [Bakterielle Ruhr]
A03.8;Sonstige Shigellosen;Shigellose [Bakterielle Ruhr]
A03.9;Shigellose, nicht näher bezeichnet;Shigellose [Bakterielle Ruhr]
A04.-;Sonstige bakterielle Darminfektionen;Sonstige bakterielle Darminfektionen
A04.0;Darminfektion durch enteropathogene Escherichia coli;Sonstige bakterielle Darminfektionen
A04.1;Darminfektion durch enterotoxinbildende Escherichia coli;Sonstige bakterielle Darminfektionen
A04.2;Darminfektion durch enteroinvasive Escherichia coli;Sonstige bakterielle Darminfektionen
A04.3;Darminfektion durch enterohämorrhagische Escherichia coli;Sonstige bakterielle Darminfektionen
A04.4;Sonstige Darminfektionen durch Escherichia coli;Sonstige bakterielle Darminfektionen
A04.5;Enteritis durch Campylobacter;Sonstige bakterielle Darminfektionen
A04.6;Enteritis durch Yersinia enterocolitica;Sonstige bakterielle Darminfektionen
A04.7-;Enterokolitis durch Clostridium difficile;Sonstige bakterielle Darminfektionen
A04.70;Enterokolitis durch Clostridium difficile ohne Megakolon, ohne sonstige Organkomplikationen;Sonstige bakterielle Darminfektionen
A04.71;Enterokolitis durch Clostridium difficile ohne Megakolon, mit sonstigen Organkomplikationen;Sonstige bakterielle Darminfektionen
A04.72;Enterokolitis durch Clostridium difficile mit Megakolon, ohne sonstige Organkomplikationen;Sonstige bakterielle Darminfektionen
A04.73;Enterokolitis durch Clostridium difficile mit Megakolon, mit sonstigen Organkomplikationen;Sonstige bakterielle Darminfektionen
A04.79;Enterokolitis durch Clostridium difficile, nicht näher bezeichnet;Sonstige bakterielle Darminfektionen
A04.8;Sonstige näher bezeichnete bakterielle Darminfektionen;Sonstige bakterielle Darminfektionen
A04.9;Bakterielle Darminfektion, nicht näher bezeichnet;Sonstige bakterielle Darminfektionen
A05.-;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert
